age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
60,admin.,divorced,professional.course,unknown,yes,no,cellular,nov,fri,172,14,999,0,success,3.4,94.944,-44.1,6.163,4928.1
49,admin.,married,high.school,no,yes,yes,cellular,nov,thu,329,5,999,0,success,1.9,94.7,-50.0,5.276,4895.8
54,admin.,married,professional.course,no,unknown,unknown,cellular,jul,wed,242,7,999,0,success,3.4,95.418,-50.7,6.163,4928.1
48,admin.,married,basic.6y,no,no,no,telephone,nov,wed,646,5,999,0,success,3.4,95.418,-50.7,6.162,4928.1
49,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,403,33,999,0,success,3.4,95.965,-49.8,6.16,4928.1
50,admin.,married,university.degree,no,no,no,cellular,nov,tue,575,5,999,0,success,3.4,94.944,-44.1,6.166,4928.1
58,admin.,married,basic.4y,no,yes,no,telephone,nov,wed,170,8,999,0,nonexistent,3.4,95.965,-49.8,6.064,4928.1
56,admin.,married,professional.course,no,no,yes,telephone,nov,fri,160,6,999,0,success,3.1,95.494,-44.4,6.057,4891.0
67,admin.,divorced,basic.6y,no,yes,no,cellular,nov,wed,514,5,999,0,nonexistent,3.4,95.965,-49.8,6.159,4928.1
61,admin.,married,high.school,unknown,yes,yes,cellular,nov,mon,764,7,999,0,success,3.1,95.494,-44.4,6.058,4891.0
68,admin.,divorced,university.degree,no,no,no,cellular,nov,mon,565,5,999,0,success,1.9,94.7,-50.0,5.391,4895.8
66,self-employed,married,basic.9y,no,yes,no,cellular,may,thu,412,6,999,0,success,3.1,95.494,-44.4,6.0600000000000005,4891.0
52,admin.,married,basic.9y,no,no,no,cellular,nov,fri,709,5,999,0,success,3.1,95.494,-44.4,6.064,4891.0
54,admin.,single,unknown,no,no,no,cellular,nov,tue,860,5,999,0,success,3.1,95.494,-44.4,6.056,4891.0
54,admin.,divorced,university.degree,unknown,yes,no,cellular,nov,tue,489,6,999,0,success,3.1,95.494,-44.4,6.057,4891.0
57,blue-collar,married,basic.9y,no,yes,no,cellular,jun,fri,1049,9,999,0,success,3.4,95.965,-49.8,6.167,4928.1
47,admin.,married,high.school,no,no,no,cellular,nov,tue,955,7,999,0,success,1.9,94.7,-50.0,5.353,4895.8
41,admin.,single,basic.9y,unknown,yes,no,cellular,nov,tue,464,5,999,1,success,0.19999999999999996,94.393,-54.2,2.4909999999999997,4799.1
64,blue-collar,married,unknown,unknown,no,no,cellular,nov,wed,322,8,999,0,nonexistent,3.4,95.965,-49.8,6.064,4928.1
64,admin.,divorced,basic.9y,no,yes,no,cellular,nov,thu,682,7,999,0,nonexistent,3.1,95.494,-44.4,6.055000000000001,4891.0
61,admin.,divorced,basic.9y,no,yes,no,cellular,nov,thu,221,6,999,0,success,3.1,95.494,-44.4,6.0600000000000005,4891.0
50,admin.,married,professional.course,no,yes,yes,cellular,nov,fri,145,6,999,0,success,3.1,95.494,-44.4,6.057,4891.0
61,self-employed,married,university.degree,no,no,yes,cellular,nov,tue,2316,16,999,0,success,3.4,95.418,-50.7,6.1610000000000005,4928.1
44,admin.,single,university.degree,no,no,no,cellular,nov,fri,718,5,999,0,nonexistent,3.1,95.494,-44.4,6.057,4891.0
73,admin.,married,basic.4y,no,no,no,cellular,nov,tue,705,7,999,0,success,3.1,95.494,-44.4,6.056,4891.0
62,management,married,basic.4y,unknown,yes,no,cellular,nov,wed,331,5,999,0,success,1.9,94.7,-50.0,5.32,4895.8
44,admin.,married,high.school,no,yes,yes,cellular,nov,tue,804,5,999,0,nonexistent,0.19999999999999996,94.393,-54.2,2.4909999999999997,4799.1
39,admin.,single,university.degree,no,no,yes,cellular,nov,wed,316,7,999,0,success,3.4,95.418,-50.7,6.163,4928.1
41,admin.,married,unknown,no,no,no,cellular,nov,thu,766,5,999,1,success,0.19999999999999996,94.869,-42.8,1.843,4708.7
43,admin.,married,university.degree,no,yes,no,cellular,nov,wed,698,5,999,0,nonexistent,3.4,95.418,-50.7,6.162,4928.1
41,admin.,married,professional.course,no,no,no,cellular,nov,thu,588,5,999,0,nonexistent,3.1,95.494,-44.4,6.0600000000000005,4891.0
49,admin.,married,professional.course,no,yes,no,cellular,nov,wed,617,7,999,0,success,3.4,94.944,-44.1,6.167,4928.1
54,admin.,married,university.degree,unknown,yes,no,cellular,nov,fri,493,8,999,0,success,3.4,94.944,-44.1,6.163,4928.1
52,admin.,single,university.degree,no,no,no,cellular,aug,thu,309,5,999,0,success,3.4,94.944,-44.1,6.162,4928.1
48,admin.,married,basic.4y,no,no,no,telephone,may,thu,844,5,999,0,success,3.1,95.494,-44.4,6.0600000000000005,4891.0
47,admin.,single,basic.9y,no,yes,no,cellular,nov,thu,255,6,999,0,success,1.9,94.7,-50.0,5.276,4895.8
53,admin.,married,basic.9y,no,no,no,cellular,nov,wed,719,5,999,0,success,3.4,95.965,-49.8,6.158,4928.1
61,admin.,married,university.degree,unknown,no,no,cellular,nov,tue,341,6,999,0,success,3.4,94.944,-44.1,6.168,4928.1
54,admin.,married,basic.6y,unknown,no,no,cellular,nov,tue,358,5,999,0,success,0.19999999999999996,94.393,-54.2,2.544,4799.1
42,admin.,single,university.degree,no,no,no,cellular,nov,fri,275,5,3,1,success,0.19999999999999996,94.393,-54.2,2.4589999999999996,4799.1
45,admin.,married,university.degree,no,yes,yes,cellular,apr,thu,1450,6,999,0,nonexistent,0.19999999999999996,94.575,-55.1,2.683,4799.1
47,blue-collar,single,basic.4y,no,yes,yes,cellular,jun,mon,401,5,999,0,success,3.4,95.965,-49.8,6.065,4928.1
51,blue-collar,single,basic.6y,no,yes,no,cellular,nov,tue,714,5,999,0,success,0.8999999999999999,96.267,-58.8,2.246,4663.6
65,admin.,married,high.school,no,yes,no,cellular,nov,mon,1132,6,999,0,success,0.19999999999999996,94.575,-55.1,2.605,4799.1
42,admin.,single,university.degree,no,yes,no,cellular,nov,thu,570,7,999,5,success,0.30000000000000004,95.527,-46.3,2.104,4691.6
59,admin.,divorced,basic.9y,no,yes,no,cellular,nov,wed,419,5,999,0,success,3.1,95.494,-44.4,6.057,4891.0
79,admin.,married,university.degree,no,no,no,cellular,nov,mon,359,5,999,0,success,-0.8999999999999999,93.701,-39.4,2.084,4776.2
73,admin.,married,unknown,unknown,yes,no,cellular,aug,fri,635,5,999,0,success,3.4,94.944,-44.1,6.164000000000001,4928.1
86,admin.,married,university.degree,no,yes,yes,cellular,apr,mon,280,16,999,0,success,0.19999999999999996,94.575,-55.1,2.5919999999999996,4799.1
44,admin.,single,high.school,no,yes,no,cellular,nov,thu,509,5,6,2,success,0.8999999999999999,95.699,-45.5,2.0789999999999997,4663.6
53,admin.,married,high.school,no,yes,no,cellular,nov,tue,1987,12,999,0,nonexistent,3.4,95.418,-50.7,6.1610000000000005,4928.1
46,admin.,married,basic.9y,no,yes,no,cellular,nov,mon,494,5,999,0,success,3.4,95.965,-49.8,6.16,4928.1
52,admin.,divorced,basic.9y,no,yes,no,cellular,apr,mon,565,5,999,1,success,0.19999999999999996,94.575,-55.1,2.666,4799.1
54,blue-collar,divorced,basic.9y,unknown,no,no,cellular,nov,wed,291,5,999,1,success,0.19999999999999996,94.393,-54.2,2.534,4799.1
49,admin.,married,professional.course,no,no,no,cellular,nov,tue,620,6,999,0,nonexistent,0.19999999999999996,94.393,-54.2,2.4909999999999997,4799.1
45,admin.,single,university.degree,unknown,yes,no,cellular,nov,thu,233,7,999,0,success,0.19999999999999996,94.393,-54.2,2.527,4799.1
54,admin.,married,professional.course,no,yes,no,cellular,nov,wed,626,8,999,0,success,3.4,95.965,-49.8,6.159,4928.1
40,admin.,single,high.school,no,yes,no,cellular,nov,tue,505,5,999,0,success,3.4,95.418,-50.7,6.1610000000000005,4928.1
55,admin.,divorced,university.degree,no,yes,no,cellular,nov,thu,469,6,999,0,success,0.19999999999999996,94.575,-55.1,2.61,4799.1
45,admin.,single,university.degree,no,yes,no,cellular,nov,tue,464,5,999,0,success,-1.4,93.879,-37.8,1.988,4717.5
49,admin.,divorced,university.degree,no,no,no,cellular,nov,thu,1007,6,999,1,failure,1.9,94.7,-50.0,5.276,4895.8
59,admin.,married,high.school,unknown,yes,no,cellular,nov,mon,304,10,999,0,success,3.4,95.418,-50.7,6.162,4928.1
53,admin.,married,basic.6y,no,no,no,cellular,nov,tue,608,5,2,3,success,0.30000000000000004,95.555,-47.8,1.9609999999999999,4691.6
44,admin.,single,high.school,no,no,no,cellular,nov,wed,188,5,999,0,success,3.4,95.418,-50.7,6.163,4928.1
48,admin.,married,high.school,no,no,no,cellular,nov,tue,836,6,999,0,success,3.4,94.944,-44.1,6.166,4928.1
44,admin.,single,university.degree,no,yes,no,telephone,nov,wed,305,5,999,0,success,1.9,94.7,-50.0,5.32,4895.8
44,admin.,single,basic.6y,no,no,no,cellular,nov,fri,588,7,999,0,success,-0.8999999999999999,93.701,-39.4,2.069,4776.2
69,management,divorced,university.degree,no,no,no,cellular,nov,mon,1220,6,999,0,nonexistent,3.1,95.494,-44.4,6.057,4891.0
66,admin.,married,high.school,no,yes,no,cellular,nov,mon,280,5,999,0,success,1.9,94.7,-50.0,5.391,4895.8
39,admin.,divorced,high.school,no,yes,no,cellular,nov,wed,223,6,999,0,nonexistent,3.4,95.418,-50.7,6.157,4928.1
63,admin.,divorced,professional.course,no,no,no,cellular,nov,mon,1135,5,999,0,nonexistent,1.9,94.7,-50.0,5.391,4895.8
71,admin.,married,basic.4y,no,yes,no,telephone,nov,mon,304,6,999,0,success,3.1,95.494,-44.4,6.057,4891.0
45,blue-collar,married,basic.4y,unknown,no,no,cellular,nov,fri,376,7,999,1,success,0.19999999999999996,94.393,-54.2,2.513,4799.1
75,admin.,married,basic.9y,unknown,no,no,cellular,nov,wed,390,5,999,0,nonexistent,3.1,95.494,-44.4,6.059,4891.0
46,admin.,single,university.degree,no,yes,no,cellular,apr,thu,809,5,999,0,success,0.19999999999999996,94.575,-55.1,2.565,4799.1
73,admin.,married,basic.6y,unknown,no,no,cellular,may,mon,602,7,999,0,success,3.1,95.494,-44.4,6.057,4891.0
55,admin.,married,unknown,unknown,no,no,cellular,jul,mon,1965,5,999,0,nonexistent,3.4,95.418,-50.7,6.162,4928.1
66,entrepreneur,married,basic.4y,unknown,no,no,telephone,nov,fri,619,7,999,0,success,3.1,95.494,-44.4,6.055000000000001,4891.0
61,admin.,married,university.degree,no,no,yes,cellular,nov,wed,305,10,999,0,success,3.1,95.494,-44.4,6.059,4891.0
46,admin.,single,high.school,no,no,no,cellular,nov,wed,381,5,999,0,success,1.9,94.7,-50.0,5.32,4895.8
68,blue-collar,married,high.school,no,no,yes,cellular,nov,mon,365,6,999,0,success,3.4,95.418,-50.7,6.162,4928.1
52,admin.,married,high.school,no,yes,no,cellular,nov,thu,527,5,2,1,success,0.19999999999999996,94.575,-55.1,2.565,4799.1
56,admin.,married,basic.6y,no,no,no,cellular,may,thu,253,6,999,0,success,3.1,95.494,-44.4,6.0600000000000005,4891.0
48,admin.,married,basic.9y,unknown,yes,no,cellular,nov,fri,1434,9,999,0,success,0.19999999999999996,94.393,-54.2,2.45,4799.1
50,admin.,single,professional.course,no,yes,no,cellular,nov,tue,241,5,999,0,nonexistent,3.4,94.944,-44.1,6.165,4928.1
41,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,1074,7,999,0,success,3.4,95.418,-50.7,6.168,4928.1
57,admin.,single,university.degree,no,no,no,cellular,nov,thu,430,8,999,0,success,3.1,95.494,-44.4,6.055000000000001,4891.0
57,admin.,married,professional.course,no,no,no,cellular,nov,tue,3041,5,999,0,success,3.1,95.494,-44.4,6.057,4891.0
46,admin.,married,basic.4y,unknown,no,no,cellular,nov,wed,298,6,999,0,success,3.4,95.418,-50.7,6.163,4928.1
71,admin.,married,professional.course,no,unknown,unknown,cellular,oct,thu,446,5,6,1,success,-1.4,93.931,-34.9,1.9329999999999998,4717.5
37,admin.,single,high.school,no,yes,no,cellular,nov,thu,205,7,999,0,success,0.19999999999999996,94.393,-54.2,2.466,4799.1
42,admin.,divorced,high.school,no,yes,no,cellular,nov,tue,491,6,999,0,success,3.1,95.494,-44.4,6.057,4891.0
39,admin.,single,university.degree,no,yes,no,cellular,nov,mon,417,6,999,0,nonexistent,3.1,95.494,-44.4,6.057,4891.0
57,admin.,married,basic.4y,unknown,yes,no,cellular,nov,fri,347,7,999,0,success,3.4,95.418,-50.7,6.162,4928.1
71,admin.,married,basic.4y,unknown,yes,yes,cellular,nov,fri,334,5,999,1,success,1.9,94.7,-50.0,5.221,4895.8
47,admin.,single,university.degree,no,yes,yes,cellular,nov,wed,250,6,999,0,nonexistent,3.4,94.944,-44.1,6.164000000000001,4928.1
43,admin.,single,high.school,no,no,yes,cellular,nov,fri,233,16,999,0,success,3.4,95.418,-50.7,6.162,4928.1
56,admin.,single,high.school,no,no,yes,cellular,nov,mon,320,5,999,0,success,3.1,95.494,-44.4,6.057,4891.0
45,services,married,high.school,no,yes,no,cellular,nov,fri,1582,5,999,0,success,3.4,95.418,-50.7,6.163,4928.1
62,admin.,divorced,basic.9y,unknown,no,no,cellular,nov,wed,406,6,999,0,success,3.1,95.494,-44.4,6.058,4891.0
45,admin.,single,high.school,no,yes,no,cellular,nov,thu,955,6,999,0,success,0.19999999999999996,94.393,-54.2,2.466,4799.1
70,admin.,married,basic.6y,unknown,no,no,cellular,jul,tue,538,8,999,0,nonexistent,3.4,95.418,-50.7,6.1610000000000005,4928.1
90,retired,married,basic.4y,no,yes,yes,cellular,nov,fri,241,6,999,0,success,-0.8999999999999999,93.969,-41.6,2.259,4776.2
55,technician,married,high.school,no,yes,no,cellular,nov,wed,332,5,999,0,nonexistent,1.9,94.7,-50.0,5.32,4895.8
55,admin.,married,university.degree,no,no,no,cellular,nov,wed,215,7,999,0,success,3.4,94.944,-44.1,6.164000000000001,4928.1
65,admin.,married,basic.4y,no,yes,no,cellular,nov,tue,491,5,999,0,success,3.1,95.494,-44.4,6.056,4891.0
54,admin.,married,basic.6y,unknown,no,yes,cellular,nov,thu,340,5,999,0,success,3.4,95.418,-50.7,6.163,4928.1
52,admin.,unknown,basic.6y,unknown,no,yes,cellular,nov,fri,181,6,999,0,success,3.1,95.494,-44.4,6.064,4891.0
48,admin.,divorced,high.school,no,no,no,cellular,nov,tue,462,5,999,0,success,3.1,95.494,-44.4,6.056,4891.0
53,admin.,married,basic.9y,no,unknown,unknown,cellular,nov,fri,206,5,999,0,success,3.4,95.965,-49.8,6.159,4928.1
56,entrepreneur,married,basic.6y,no,no,no,cellular,jul,tue,615,6,999,0,success,3.4,95.418,-50.7,6.1610000000000005,4928.1
54,admin.,divorced,professional.course,no,yes,no,cellular,nov,fri,350,6,999,1,success,0.19999999999999996,94.393,-54.2,2.45,4799.1
63,admin.,married,professional.course,no,no,no,cellular,nov,thu,1004,5,6,3,success,0.8999999999999999,96.101,-57.5,2.187,4663.6
49,admin.,married,professional.course,no,unknown,unknown,telephone,nov,fri,574,8,999,0,success,3.1,95.494,-44.4,6.055000000000001,4891.0
48,admin.,married,university.degree,no,no,no,cellular,nov,thu,419,7,999,0,success,3.1,95.494,-44.4,6.055000000000001,4891.0
56,admin.,single,basic.6y,no,unknown,unknown,cellular,nov,wed,286,5,999,0,success,3.1,95.494,-44.4,6.056,4891.0
45,admin.,single,university.degree,no,yes,no,cellular,nov,tue,579,6,3,1,success,0.30000000000000004,95.715,-48.3,1.9969999999999999,4691.6
46,admin.,married,basic.9y,no,yes,no,cellular,nov,fri,455,9,999,0,success,3.1,95.494,-44.4,6.059,4891.0
54,admin.,married,professional.course,no,yes,no,cellular,nov,fri,466,6,999,0,success,3.4,94.944,-44.1,6.164000000000001,4928.1
51,admin.,married,basic.9y,no,yes,no,cellular,nov,wed,536,6,999,0,success,3.1,95.494,-44.4,6.056,4891.0
59,admin.,married,professional.course,no,yes,no,cellular,nov,tue,223,6,999,0,success,3.4,95.965,-49.8,6.1610000000000005,4928.1
66,admin.,married,basic.4y,no,no,no,cellular,nov,fri,203,5,999,0,success,3.4,95.418,-50.7,6.162,4928.1
53,blue-collar,married,professional.course,no,no,no,cellular,jun,mon,448,7,999,0,nonexistent,3.4,95.965,-49.8,6.16,4928.1
64,unemployed,married,professional.course,no,yes,no,cellular,nov,tue,656,7,999,0,nonexistent,-0.8999999999999999,94.463,-48.8,2.452,4776.2
58,admin.,married,high.school,no,yes,no,cellular,nov,thu,1076,5,999,0,success,-1.4,93.879,-37.8,2.009,4717.5
73,admin.,married,high.school,no,yes,no,cellular,nov,tue,431,5,999,2,success,0.8999999999999999,96.267,-58.8,2.246,4663.6
61,admin.,married,university.degree,unknown,no,no,cellular,nov,mon,534,7,999,0,success,3.4,95.965,-49.8,6.065,4928.1
58,admin.,single,high.school,no,no,no,cellular,nov,fri,230,6,999,0,success,1.9,94.7,-50.0,5.221,4895.8
69,admin.,divorced,professional.course,unknown,yes,no,cellular,aug,fri,737,8,999,0,success,3.4,94.944,-44.1,6.164000000000001,4928.1
46,unemployed,single,professional.course,no,no,no,cellular,nov,thu,570,5,999,1,success,1.9,94.7,-50.0,5.276,4895.8
56,admin.,single,high.school,no,yes,no,cellular,nov,tue,505,5,999,0,success,3.1,95.494,-44.4,6.056,4891.0
58,technician,married,high.school,no,no,no,cellular,nov,wed,718,7,999,0,success,3.4,95.418,-50.7,6.157,4928.1
76,retired,married,university.degree,no,no,no,cellular,nov,mon,1033,5,999,0,success,0.8999999999999999,96.267,-58.8,2.25,4663.6
63,admin.,divorced,professional.course,no,no,no,cellular,nov,wed,349,6,999,0,success,3.4,95.418,-50.7,6.163,4928.1
58,admin.,married,unknown,unknown,no,yes,cellular,nov,thu,183,5,999,0,nonexistent,0.19999999999999996,94.575,-55.1,2.61,4799.1
74,retired,married,basic.6y,no,no,no,cellular,nov,mon,539,6,999,0,nonexistent,0.19999999999999996,94.393,-54.2,2.5540000000000003,4799.1
65,admin.,married,university.degree,no,yes,no,cellular,nov,wed,626,6,999,0,success,3.1,95.494,-44.4,6.056,4891.0
54,admin.,single,basic.4y,no,unknown,unknown,cellular,nov,wed,2062,7,999,0,success,0.19999999999999996,94.393,-54.2,2.534,4799.1
49,admin.,single,high.school,no,no,no,cellular,nov,tue,536,5,999,0,nonexistent,0.19999999999999996,94.575,-55.1,2.653,4799.1
53,admin.,married,basic.6y,no,no,no,cellular,jul,thu,424,9,999,0,success,3.4,95.418,-50.7,6.168,4928.1
37,admin.,married,basic.9y,unknown,no,no,telephone,jun,wed,1130,5,999,0,success,3.4,95.965,-49.8,6.159,4928.1
42,admin.,married,high.school,no,yes,no,cellular,may,wed,694,6,999,0,success,0.19999999999999996,94.393,-54.2,2.534,4799.1
59,admin.,married,university.degree,no,yes,no,cellular,nov,tue,248,7,999,0,success,-0.8999999999999999,94.463,-48.8,2.4619999999999997,4776.2
44,admin.,married,professional.course,no,no,no,telephone,nov,wed,167,5,999,0,success,3.4,95.965,-49.8,6.162,4928.1
57,admin.,married,basic.6y,unknown,no,no,cellular,nov,tue,775,6,999,0,success,1.9,94.7,-50.0,5.353,4895.8
67,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,694,5,999,0,success,3.1,95.494,-44.4,6.057,4891.0
61,admin.,married,university.degree,no,yes,no,cellular,nov,fri,734,7,999,0,success,0.30000000000000004,95.715,-48.3,2.022,4691.6
58,admin.,married,basic.4y,no,yes,no,cellular,jun,wed,316,5,999,0,nonexistent,3.4,95.965,-49.8,6.159,4928.1
51,admin.,single,high.school,no,no,no,cellular,nov,thu,417,5,999,0,success,3.4,95.418,-50.7,6.163,4928.1
65,admin.,married,university.degree,no,yes,no,cellular,nov,fri,671,6,999,0,success,3.4,95.965,-49.8,6.167,4928.1
69,admin.,married,university.degree,no,no,no,cellular,nov,tue,898,6,999,0,success,1.9,94.7,-50.0,5.353,4895.8
69,services,single,high.school,unknown,no,no,cellular,nov,thu,379,5,999,0,success,3.1,95.494,-44.4,6.0600000000000005,4891.0
52,admin.,single,professional.course,no,no,no,cellular,aug,thu,336,5,999,0,success,3.4,94.944,-44.1,6.163,4928.1
72,blue-collar,divorced,basic.4y,no,no,no,cellular,nov,mon,1409,8,999,0,success,3.4,95.965,-49.8,6.065,4928.1
50,admin.,married,unknown,no,yes,no,cellular,nov,thu,2392,7,999,0,success,0.19999999999999996,94.393,-54.2,2.527,4799.1
44,admin.,single,university.degree,no,no,no,cellular,nov,tue,305,8,999,0,success,3.4,94.944,-44.1,6.163,4928.1
60,admin.,divorced,university.degree,no,yes,no,cellular,jul,thu,3131,6,999,0,nonexistent,3.4,95.418,-50.7,6.158,4928.1
65,admin.,divorced,basic.4y,no,yes,no,cellular,nov,mon,134,15,999,0,nonexistent,0.19999999999999996,94.393,-54.2,2.444,4799.1
51,admin.,married,high.school,no,no,no,cellular,nov,mon,525,6,999,0,success,3.1,95.494,-44.4,6.057,4891.0
69,admin.,divorced,basic.4y,no,yes,no,cellular,nov,tue,368,7,999,0,success,0.19999999999999996,94.393,-54.2,2.4909999999999997,4799.1
60,admin.,divorced,professional.course,no,yes,yes,cellular,nov,thu,1389,5,999,0,success,1.9,94.7,-50.0,5.276,4895.8
59,admin.,married,university.degree,unknown,yes,yes,cellular,nov,thu,413,5,999,0,nonexistent,3.4,94.944,-44.1,6.168,4928.1
51,admin.,married,high.school,no,unknown,unknown,cellular,apr,tue,307,7,999,0,nonexistent,0.19999999999999996,94.575,-55.1,2.623,4799.1
70,admin.,married,professional.course,unknown,yes,no,cellular,nov,fri,557,6,999,0,success,3.4,95.418,-50.7,6.163,4928.1
42,admin.,married,university.degree,no,no,yes,cellular,nov,fri,1882,6,999,0,nonexistent,3.4,95.418,-50.7,6.162,4928.1
44,admin.,married,high.school,no,yes,no,cellular,nov,mon,399,5,999,0,success,1.9,94.7,-50.0,5.391,4895.8
41,admin.,single,basic.9y,no,no,yes,cellular,nov,thu,1103,12,999,0,success,3.1,95.494,-44.4,6.0600000000000005,4891.0
68,admin.,married,basic.4y,unknown,no,no,cellular,nov,fri,287,8,999,0,success,3.4,95.418,-50.7,6.157,4928.1
74,admin.,married,basic.9y,unknown,yes,no,cellular,aug,thu,394,6,999,0,success,3.4,94.944,-44.1,6.164000000000001,4928.1
54,admin.,married,professional.course,no,yes,yes,cellular,nov,thu,323,6,999,0,success,0.19999999999999996,94.393,-54.2,2.527,4799.1
44,admin.,single,high.school,no,yes,no,cellular,nov,wed,491,5,999,0,success,3.4,95.418,-50.7,6.162,4928.1
